Sharon Salzberg|Meditation may be done in silence &amp; stillness, by using voice &amp; sound, or by engaging the body in movement. All forms emphasize the training of attention.
Allan Lokos|An open beginner's mind is a powerful tool for developing patience.
Allan Lokos|The virtues of free enterprise can become distorted by greed &amp; delusion.
Sharon Salzberg|Seeking is endless. It never comes to a state of rest; it never ceases.
Allan Lokos|When we teach a child patience we offer them the gift of a dignified life.
Doug Dillon|We may be living past and future lives at the same time we are living this one.
Allan Lokos|The art of peaceful living comes down to living compassionately &amp; wisely.
Allan Lokos|Without the ability to be present we are missing much of what the adventure has to offer.
Donald Rothberg|...it is often more difficult to remember to be mindful than to be mindful itself. (p. 47)
Nyanaponika Thera|Two thoughts cannot coexist at the same time: if the clear light of mindfulness is present, there is no room for mental twilight.
Roy   Bennett|When you open your mind, you open new doors to new possibilities for yourself and new opportunities to help others.
Dan Santat|But remember, there's no greater gift than the present.
Carlos Castaneda|Seek and see all the marvels around you. You will get tired of looking at yourself alone, and that fatigue will make you deaf and blind to everything else. - Don Juan
Allan Lokos|Compassion is not complete if it does not include oneself.
Allan Lokos|A modern definition of equanimity: cool. This refers to one whose mind remains stable &amp; calm in all situations.
Allan Lokos|One who is patient glows with an inner radiance.
Allan Lokos|Understanding the true nature of things, or seeing things as they really are, is the ground of wisdom.
Sharon Salzberg|We long for permanence but everything in the known universe is transient. That’s a fact but one we fight.
Allan Lokos|So what is a good meditator? A good meditator meditates.
Allan Lokos|Patience requires a slowing down, a spaciousness, a sense of ease.
Allan Lokos|One of the best ways to support the development of patience is to cultivate happiness with yourself.
Sharon Salzberg|Buddha ﬁrst taught metta meditation as an antidote: as a way of surmounting terrible fear when it arises.
Sharon Salzberg|Like water poured from one vessel to another, metta ﬂows freely, taking the shape of each situation without changing its essence.
Allan Lokos|To be mindful entails examining the path we are traveling &amp; making choices that alleviate suffering &amp; bring happiness to ourselves &amp; those around us.
Jesse Ball|…In this way that he sought to control the very passage of his life, deftly and without forethought, yet precisely and with enormous care. Part of it was to allow what was enormous, what was profound, without limiting it.
Desmond Biddulph|Although social and personal circumstances will play their part in contributing to how an individual suffers, in Buddhist thought blame is seen as a "poison" that will only lead to negative actions and will do nothing to reduce suffering.
Sharon Salzberg|By practicing meditation we establish love, compassion, sympathetic joy &amp; equanimity as our home.
Allan Lokos|We cannot force the development of mindfulness.
Allan Lokos|People in the midst of losing their patience are certainly experiencing as aspect of dukkha.
Sharon Salzberg|To relinquish the futile effort to control change is one of the strengthening forces of true detachment &amp; thus true love.
Sharon Salzberg|With attachment all that seems to exist is just me &amp; that object I desire.
Allan Lokos|We yearn for there to be meaning to our lives, balanced with a sense of inner peace &amp; joy.
Donald Rothberg|To be mindful of social phenomena is thus to identify more clearly hatred, greed, and delusion as well as the seeds of wisdom and compassion both around us and in us. (p. 52)
Sharon Salzberg|When we practice metta, we open continuously to the truth of our actual experience, changing our relationship to life.
Aditya Ajmera|Freedom means either be mindful or do not mind.
Chris Matakas|Nothing worthwhile ever came from divided attention.
Amit Ray|Beauty is the moment when time vanishes and eternity arises.
Kilroy J. Oldster|All of our thoughts – ideas – are traceable to a sensation, an encounter with the world that leaves an impression upon the mind.
Rasheed Ogunlaru|Step outside for a while - calm your mind. It is better to hug a tree than to bang your head against a wall continually
Richie Norton|Freedom rings when you realize you can become what you never thought you could become.
John Bruna|Every thought, word, and action plants seeds in the garden of your life. Are you planting seeds of love, compassion, peace, or those of anger, resentment and dissatisfaction? Choose wisely and tend your garden well.
Kat Lahr|It is within the boundaries of reflection we are able to become aware of insights that can lead us to understanding.
Kat Lahr|We must not fall asleep in the present because the now moment is the only reality we truly have.
Mark Nepo|It’s like wearing gloves every time we touch something, and then, forgetting we chose to put them on, we complain that nothing feels quite real.
Rasheed Ogunlaru|A few simple tips for life: feet on the ground, head to the skies, heart open...quiet mind
John Bruna|Every moment, every breath, is a new opportunity. An opportunity to let go of the past and to become the person you choose to be.
John Bruna|Today is sacred - for it will never come again. What could be more important than living this day with attention and the intention to be of benefit, to the best of your ability, to all you encounter?
John Bruna|Truly listening, attentively, and with care, is one of the simplest and most kind gifts we can give anyone.
John Bruna|Patience is an action and a skill to be cultivated. It actually solves more problems that most other actions.
John Bruna|True freedom is the ability to respond consciously, in the most beneficial way, to whatever life throws at you.
John Bruna|When you look back at the painful and difficult events of your life, you find that they were the times of your greatest personal growth. The challenges of our lives provide us the opportunity to develop our highest potentials.
Richie Norton|Home is where your people are.
Taranpreet Singh|Positivity of Life and Negativity of Mind cannot exist together. The more you keep on adapting the positivity into your mind, the more beautiful your world will become.
Rasheed Ogunlaru|It is not blindly pushing your own agenda that will enrich the world. It’s is your ability and willingness to understand, appreciate, anticipate, address, serve and support the lives of others that will.
Bikash Bhandari|Your thoughts are based on your perceptions and those thoughts are capable to refine your perceptions again.
Rasheed Ogunlaru|Open your eyes, mind and heart - and then (only then) you will see
Robert M. Pirsig|What he’s looking for, what he wants, is all around him, but he doesn’t want that because it is all around him. Every step’s an effort, both physically and spiritually, because he imagines his goal to be external and distant.
Kilroy J. Oldster|Irrespective of what religious or intellectual philosophy guides an enlightened person’s life plan, self-mastery plays an important, if not quintessential role.
Kilroy J. Oldster|Mindfulness can serve as an antidote to living a fragmental life riven with deleterious delusions and illusions.
Rosa Montero|Yo no soy mi memoria. Que además sé que es falsa. Yo soy mis actos y mis días.
Thich Nhat Hanh|Do not lose yourself in the past. Do not lose yourself in the future. Do not get caught in your anger, worries, or fears. Come back to the present moment, and touch life deeply. This is mindfulness.
lauren klarfeld|If we love someone deeply, be they friends, family or lovers, don’t treat the relationship like a playground game of back and forth or tit for tat. See it as a loving connection and let that be the basis of it all.
Herman Hesse|Within yourself is a stillness and a sanctuary to which you can retreat at any time and be yourself.
Waylon H. Lewis|Meditate five minutes each morning and see it wake up your entire life.
lauren klarfeld|If we are with someone out of choice, we should act accordingly, and choose to communicate rather than deteriorate.
Aniekee Tochukwu Ezekiel|Go inside you, feel the silence, use the eternal now that rules the past and the future.
lauren klarfeld|As any distance we take from things give us an outside perspective, so does taking a geographical distance—offering us a new vantage point over our lives.
Joseph Goldstein|When the momentum of mindfulness is well developed, it works like a boomerang; even if we want to distract ourselves, the mind naturally rebounds to a state of awareness.
Rasheed Ogunlaru|Sooner or later everything will turn to dust - except love
Alan W. Watts|To "know" reality you cannot stand outside it and define it; you must enter into it, be it, and feel it.
Vironika Tugaleva|It will take as long as it takes. Your work is to take the time and make the space. Everything else is beyond your influence.
Vironika Tugaleva|Emotions are not problems to be solved. They are signals to be interpreted.
Erin Fall Haskell|Her beauty is untouchable.
Krista Tippett|<strong>Listening is about being present, not just about being quiet. I meet others with the life I’ve lived, not just with my questions.</strong>
Alaric Hutchinson|There is no reason good enough for us to ever be out of alignment with Peace, and there is no reason good enough for us to ever be out of alignment with Love.
Alaric Hutchinson|Keep your opinion to yourself unless it’s asked for.
David Michie|When we understand the true nature of mind, we start to see these thoughts merely as thoughts instead of engaging with them. They arise, abide, and pass. They have no substance and certainly no power unless we git it to them.
Robert M. Pirsig|For every fact there is an infinity of hypotheses.. . The more you look the more you see.
Nikki Rowe|I have a fear of living a surface kind of life; . barely existing, barely touching or tasting anything. That's why you'll always see me giving my all or walking away ~ I'm too full of depth to dance in the middle of anything.
Aniekee Tochukwu Ezekiel|When you face reality, give other realities you don't know yet a chance to reach your mind.
Nikki Rowe|My heart broke and my mind opened, tragedy works in a funny way like that ~ what once tore me apart was actually what was setting my truth free.
Will Adolphy|If you stand back far enough, anything and everything is nothing.
Alaric Hutchinson|Even the most aware of us do not realize the infinite power we possess or the magnitude of the ability we have to create, transmute, and transcend.
Jean Moreau, Abbey of Kervennec, France|Freedom of will is our birthright.
Nikki Rowe|Accept where you are, accept what you have, accept who you are ~ do what you can with all of that and let it be enough.
Nikki Rowe|Your mind, it will trick you . but your heart, it will not.
Jean Moreau, Abbey of Kervennec, France|Mindfulness is a quiet mind, an aware mind. Mindfulness itself is not about ‘arriving,’ but about being.
Alaric Hutchinson|Energy does not judge, it merely creates.
Barry Schwartz|The mistake is to assume that the way it feels at the moment is the way it will feel forever.
Alaric Hutchinson|We do not want to deny existence. Yet we also do not want to limit existence. Thus, we observe and honor without forming opinion, labeling, or adding a story to the object of our observation.
Alaric Hutchinson|A single thought can shift your entire world.
Alaric Hutchinson|I’m not here to disagree with people or try to change anyone’s mind. I’m just here to accept and love others right where they are – no matter their belief systems or backgrounds.
Jean Moreau, Abbey of Kervennec, France|Creation is always an act of affirmation, a lust for life or activity, a restlessness accompanied by art. That art is what pleases and invigorates and mystifies me.
Amit Ray|Mindfulness is not chasing the moment but beautifying the moment.
Amit Ray|Every moment is auspicious. There is always some magic in it.
Rasheed Ogunlaru|The best way to look back at life fondly is to meet it - and those along your journey - warmly, kindly and mindfully
Alaric Hutchinson|Compassion dissolves ignorance.
Earthschool Harmony|Remember seeker, our earthly perceptions of reality are just an illusion.
Alaric Hutchinson|Living in the present moment is the recurring baptism of the soul, forever purifying every new day with a new you.
Earthschool Harmony|Immersed in surrender and gratitude, celestial pearls of wisdom form rosaries of prayer that entangle with my soul.
Earthschool Harmony|Your spiritual heart imbibes in the primordial light and, as you dance towards infinity, you begin to see all things are held together by the power of love.
Alaric Hutchinson|It is often the simple daily practices that influence our lives in dramatic ways.
Alaric Hutchinson|Your Ego tells you that you were wronged and it validates your separation. Your Higher Self tells you that you were blessed and it validates your expansion.
Natasa Pantovic Nuit|Mindfulness is awareness of everything that is happening in the moment of 'Now'. Mindfulness is a self development technique that will change the focus of our mind towards happiness.
A.D. Posey|That which is cool is driven by the soul.
Christopher Dines|When we observe the flow of our breathing, we transcend our thoughts and are able to bring mind and body into harmony with each other. Thus, we create calm.
A.D. Posey|Beauty is light set free.
Nick Bostrom|A full-throttled deployment of the practices of strategic communication would kill candor and leave truth bereft to fend for herself in the backstabbing night of political bogeys.
Nikki Rowe|Be bold, speak from your heart.
Nikki Rowe|Seeked of self love.
